kdppk,nmppk,jnsppk,nmjnsppk,telpppk,latitude,longitude,nmjlnppk,icon
0100B010,Klinik Restu,,Klinik Pratama,0721-91643,-5.31172,105.195,JL.LINTAS SUMATERA,libs/assets/images/rs_merah.png
0100B013,Klinik Sidomari,,Klinik Pratama,081532904444,-5.26349,105.382,JL. SINAR REZEKI,libs/assets/images/rs_merah.png
0100B020,Klinik Centro,,Klinik Pratama,0853-57530012,-5.35871,105.414,JL. IR SUTAMI KM 10 ,libs/assets/images/rs_merah.png
0100B025,Klinik Jasmine Medika,,Klinik Pratama,0852-79472593,-5.54131,105.411,JALAN LINTAS SOEKARNO HATTA,libs/assets/images/rs_merah.png
0100B026,Klinik  Kenanga,,Klinik Pratama,081930278259,-5.32305,105.193,JL. KENANGA III,libs/assets/images/rs_merah.png
0100B030,KLINIK MEDISTRA RAYA,,Klinik Pratama,0852-7902889,-5.44902,105.336,"JL. RAYA SUBAN, SP WAY LAGA RT",libs/assets/images/rs_merah.png
0100B033,KLINIK SEANA,,Klinik Pratama,0852-58959955,-5.54405,105.367,JL RAYA LINTAS SUMATERA,libs/assets/images/rs_merah.png
0100B034,KLINIK CITRA,,Klinik Pratama,0721-3770195,-5.41968,105.403,DESA SERDANG DUSUN 3B,libs/assets/images/rs_merah.png
0100B035,KLINIK CENDANA,,Klinik Pratama,0811-7919229,-5.34191,105.294,JALAN CENDANA 2 NO.5,libs/assets/images/rs_merah.png
0100B037,KLINIK MUBARAK,,Klinik Pratama,0721-7600052,-5.25989,105.182,CANDIMAS 2 GG SEPAKAT NO 096  ,libs/assets/images/rs_merah.png
0100B039,KLINIK AZZAHRA HUSADA,,Klinik Pratama,0812-7958317,-5.53249,105.427,PARDASUKA II,libs/assets/images/rs_merah.png
0100B040,KLINIK SUBAN MEDIKA,,Klinik Pratama,0812-7957373,-5.45908,105.383,JALAN RAYA SUBAN NO. 111,libs/assets/images/rs_merah.png
0100B043,KLINIK POLTEKKES TANJUNGKARANG,,Klinik Pratama,0823-7514060,-5.36059,105.226,JL. SOEKARNO HATTA NO.1 ,libs/assets/images/rs_merah.png
0100B044,KLINIK SUMBERSION,,Klinik Pratama,0812-7930663,-5.28922,105.368,DESA SUMBER JAYA KEC.JATI AGUNG KAB.LAMPUNG SELATAN,libs/assets/images/rs_merah.png
0100B045,KLINIK DINDAH JAYA,,Klinik Pratama,085166880303,-5.48898,105.383,SUMBEREJO 04 RT/RW 002/004 DESA MEKAR JAYA KEC. MERBAU MATARAM KAB. LAMPUNG SELATAN,libs/assets/images/rs_merah.png
0100U504,Klinik Ngudi waluyo,,Klinik Pratama,0721-8020007,-5.42551,105.426,JL. SRI BUNGUR,libs/assets/images/rs_merah.png
0100O002,OPTIK TOP,,Optik,0812-7819912,-5.34719,105.298,JL AIRAN RAYA 89F,libs/assets/images/rs_merah.png
0100R007,RS NATAR MEDIKA,,Rumah sakit,0721-92521,-5.31219,105.196,JL. RAYA NATAR NO 4,libs/assets/images/rs_hijau.png
0100R010,RUMAH SAKIT AIRAN RAYA,,Rumah sakit,0721-5617799,-5.35071,105.299,JL. AIRAN RAYA NO. 99,libs/assets/images/rs_hijau.png
0100R012,RSUD BANDAR NEGARA HUSADA,,Rumah sakit,0811-7245333,-5.298,105.405,"KOMPLEK PEMERINTAH PROVINSI LAMPUNG, KOTA BARU",libs/assets/images/rs_hijau.png
0100R016,RS BINTANG MEDIKA,,Rumah sakit,0721-3735008,-5.35836,105.414,"JL. IR. SUTAMI PURWODADI SIMPANG, KEC. TJ. BINTANG, KABUPATEN LAMPUNG SELATAN. 082279733909",libs/assets/images/rs_hijau.png
0100S010,KLINIK UTAMA KASIH IBU,,Klinik Utama,0823-76174060,-5.30505,105.192,JL. LINTAS SUMATERA NO.197,libs/assets/images/rs_hijau.png
0100U507,dr. Heni Afridah,,Dokter Umum,085384206035,-5.26722,105.186,JL. RAYA LINTAS SUMATERA,libs/assets/images/rs_merah.png
0100U508,dr. Novy Sugiarti,,Dokter Umum,0857-88919977,-5.2264,105.173,JL. KURNIA DUSUN SUKARAME DESA,libs/assets/images/rs_merah.png
0100U517,dr. Suslina,,Dokter Umum,08117229722,-5.31434,105.284,KARANG ANYAR,libs/assets/images/rs_merah.png
0100U519,dr. Gilda Putri Anggraini,,Dokter Umum,0811-7231319,-5.35092,105.32,JL. RYACUDU KOMPLEK LAPAS,libs/assets/images/rs_merah.png
08091102,RAJABASA LAMA,,Puskesmas,0822-80152522,-5.10492,105.657,Jalan raya Lintas Timur Desa Rajabasa Lama Kecamatan Labuhan Ratu Kabupaten Lampung Timur,libs/assets/images/rs_merah.png
0101U043,DR. HARIYANTI SUBAGIO,,Dokter Umum,0813-67230984,-5.10708,105.663,Dusun Gunung Terang III RT/RW 005/001 Desa Labuhan Ratu Kec. Labuhan Ratu Kab. LAMPUNG tIMUR,libs/assets/images/rs_merah.png
0809U039,DR DEDI MULYADI,,Dokter Umum,0813-11400068,-5.10813,105.664,Jalan Lintas Timur Dusun Gunung Terang RT/RW 003/001 Desa labuhan Ratu Kec. Labuhan Ratu ,libs/assets/images/rs_merah.png
01060001,PERMATA SUKARAME,,Puskesmas,0853-79934745,-5.38587,105.304,JL. PULAU SEBESI NO.91,libs/assets/images/rs_merah.png
01060002,KEBON JAHE,,Puskesmas,0721-255074,-5.4256,105.26,JL. NUSA INDAH NO 42,libs/assets/images/rs_merah.png
01060003,SEGALA MIDER,,Puskesmas,0897-4138714,-5.39187,105.236,JL. ZA PAGAR ALAM NO 207,libs/assets/images/rs_merah.png
08010101,SIMPUR,,Puskesmas,0721-255872,-5.41071,105.248,JL. TAMIN NO 121,libs/assets/images/rs_merah.png
08010102,PALAPA,,Puskesmas,0721-255034,-5.4156,105.249,JL.CUT NYAK DIEN GANG HIDAYAT ,libs/assets/images/rs_merah.png
08010201,GEDONGAIR,,Puskesmas,085768158931,-5.40034,105.245,JL. SINGSINGAMANGRAJA NO.3,libs/assets/images/rs_merah.png
08010202,KEMILING,,Puskesmas,072-1271459,-5.39278,105.217,JL.IMAM BONJOL NO 592,libs/assets/images/rs_merah.png
08010203,SUSUNAN BARU,,Puskesmas,0721-257656,-5.40113,105.231,JL. SULTAN BADARUDIN NO 110,libs/assets/images/rs_merah.png
08010204,PINANG JAYA,,Puskesmas,082164559417,-5.393197997248598,105.1928725950718,JL. MURAI NO 3,libs/assets/images/rs_merah.png
08010205,BERINGIN RAYA,,Puskesmas,0721-272038,-5.39649,105.212,JL. MINAK SANGAJI NO 1,libs/assets/images/rs_merah.png
08010301,KAMPUNG SAWAH,,Puskesmas,0822-69662100,-5.40716,105.264,"JL. ARJUNA NO.14, SAWAH LAMA, ",libs/assets/images/rs_merah.png
08010302,SATELIT,,Puskesmas,0852-79230007,-5.42256727671115,105.26967813491821,JL. GAJAH MADA NO.1,libs/assets/images/rs_merah.png
08010303,CAMPANG RAYA,,Puskesmas,0721-350315,-5.40623,105.302,JL. DRS. ALIMUDIN UMAR NO. 39/41,libs/assets/images/rs_merah.png
08010401,KUPANGKOTA,,Puskesmas,0721-482701,-5.44299,105.266,"JL. PATTIMURA NO 14, KEL. GUNUNG MAS",libs/assets/images/rs_merah.png
08010402,SUMUR BATU,,Puskesmas,0815-4016225,-5.43426,105.262,JL. CUT MUTIA NO 11,libs/assets/images/rs_merah.png
08010501,SUKARAJA,,Puskesmas,0721-488550,-5.4439,105.29,JL.YOS SUDARSO NO 242,libs/assets/images/rs_merah.png
